,0
p_aced%_l10_tw_ss_IO_diff,0.001527098449539454
p_aced%_l60_tw_ss_SOS_adj_diff,0.0015240789368308285
p_1st_ret_opp_1st_sv_pts_won%_l60_tw_ss_IO_SOS_adj_diff,0.0014975913004571363
p_1st_ret_pts_won%_l60_tw_ss_diff,0.0014921334457391002
p_H2H_tot_pts_won%_ss_diff,0.0014882367689292098
p_ret_pts_won%_l10_tw_ss_SOS_csp_adj_diff,0.0014788258589656436
p_1st_sv%_yielded_l60_tw_ss_SOS_csp_adj_diff,0.0014708729545914229
p_1st_ret_pts_won%_l10_tw_ss_diff,0.0014652746044819661
p_1st_sv%_l10_tw_ss_SOS_csp_adj_diff,0.0014537100184734623
p_ht_diff,0.0014475294212322335
p_sv_pts_won%_l60_tw_ss_IO_diff,0.0014246412052691313
p_1st_ret_pts_won%_l60_tw_ss_SOS_adj_diff,0.0013992688879046716
p_df%_l10_tw_ss_IO_SOS_adj_diff,0.0013927460029752598
p_2nd_ret_opp_2nd_sv_pts_won%_l10_tw_ss_SOS_csp_adj_diff,0.001375872690977217
p_ret_opp_sv_pts_won%_l10_tw_ss_IO_SOS_csp_adj_diff,0.0013630509357078497
p_2nd_ret_opp_2nd_sv_pts_won%_l10_tw_ss_IO_SOS_adj_diff,0.001336740279098252
p_1st_ret_pts_won%_l10_tw_ss_IO_SOS_csp_adj_diff,0.0013362967933512973
p_df%_l60_tw_ss_IO_diff,0.00133162419496119
p_ace_opp_aced%_l60_tw_ss_IO_SOS_adj_diff,0.001280999654348719
p_1st_sv%_l60_tw_ss_IO_SOS_adj_diff,0.0012609651566258785
p_bp_conv%_l10_tw_ss_IO_SOS_adj_diff,0.001253625167345726
p_1st_ret_pts_won%_l10_tw_ss_SOS_csp_adj_diff,0.00124387208013748
p_ace_df%_ratio_l10_tw_ss_IO_SOS_adj_diff,0.001236464028234037
p_1st_ret_opp_1st_sv_pts_won%_l60_tw_ss_SOS_adj_diff,0.0012358400901949177
p_df_opp_df_induce%_l10_tw_ss_IO_SOS_adj_diff,0.0012258232557349647
p_1st_sv_pts_won%_l60_tw_ss_diff,0.0011933105535992888
p_df_induce%_l60_tw_ss_SOS_csp_adj_diff,0.0011847955481400028
p_bpsave_opp_bpconv%_l60_tw_ss_SOS_adj_diff,0.0011846478334708792
p_2nd_ret_pts_won%_l60_tw_ss_IO_diff,0.0011628720110519848
p_bp_conv%_l10_tw_ss_IO_SOS_csp_adj_diff,0.0011594041645474214
p_ace_opp_aced%_l10_tw_ss_SOS_adj_diff,0.001143053543821019
p_2nd_sv_opp_2nd_ret_pts_won%_l10_tw_ss_IO_SOS_csp_adj_diff,0.0011379143011115307
p_df_induce%_l10_tw_ss_IO_diff,0.001130385438790392
p_df_induce%_l10_tw_ss_IO_SOS_adj_diff,0.0011268450905651366
p_1st_sv_opp_1st_ret_pts_won%_l60_tw_ss_IO_SOS_csp_adj_diff,0.001119113116245346
p_df_induce%_l10_tw_ss_IO_SOS_csp_adj_diff,0.001107251571503384
p_2nd_ret_pts_won%_l10_tw_ss_diff,0.0010898564621387413
p_aced_opp_ace%_l10_tw_ss_SOS_adj_diff,0.001088909174042006
p_matches_nss_diff,0.0010652174262662498
p_1st_ret_pts_won%_l60_tw_ss_IO_diff,0.0010610681046301174
p_1st_sv%_l60_tw_ss_SOS_adj_diff,0.0010501960141226893
p_ret_pts_won%_l60_tw_ss_SOS_adj_diff,0.0010474817494161039
p_bp_conv%_l10_tw_ss_SOS_adj_diff,0.00104449587969216
p_dfinduce_opp_df%_l10_tw_ss_SOS_csp_adj_diff,0.0010374901218207606
p_ace_opp_aced%_l10_tw_ss_IO_SOS_adj_diff,0.0010224187880466646
p_ret_opp_sv_pts_won%_l10_tw_ss_IO_SOS_adj_diff,0.0010199123220765941
p_1st_sv%_l60_tw_ss_diff,0.0010158634145248286
p_bp_conv%_l10_tw_ss_IO_diff,0.0010110032334525669
p_bp_save%_l10_tw_ss_IO_SOS_adj_diff,0.0010058741860998117
p_1st_sv%_yielded_l10_tw_ss_IO_diff,0.001003351139365877
p_df_opp_df_induce%_l10_tw_ss_SOS_csp_adj_diff,0.0009833922768052868
p_ace_opp_aced%_l60_tw_ss_SOS_csp_adj_diff,0.0009730441606369128
p_1st_sv_opp_1st_ret_pts_won%_l10_tw_ss_IO_SOS_csp_adj_diff,0.0009721118423348593
p_1st_sv_pts_won%_l10_tw_ss_IO_SOS_adj_diff,0.0009675484847527784
p_2nd_ret_opp_2nd_sv_pts_won%_l60_tw_ss_SOS_adj_diff,0.0009633761371321773
p_ace_1stSv%_ratio_l60_tw_ss_SOS_adj_diff,0.0009596553766755911
p_aced%_l60_tw_ss_IO_diff,0.0009594956734379523
p_2nd_sv_opp_2nd_ret_pts_won%_l60_tw_ss_IO_SOS_adj_diff,0.0009392192572266017
p_ent_diff,0.0009302856202987067
p_df%_l10_tw_ss_SOS_adj_diff,0.0009266590475155649
p_2nd_ret_pts_won%_l10_tw_ss_IO_SOS_csp_adj_diff,0.0009248233945291003
p_ret_pts_won%_l60_tw_ss_IO_SOS_csp_adj_diff,0.0009228991281087037
p_bpconv_opp_bpsave%_l60_tw_ss_IO_SOS_csp_adj_diff,0.0009084418132278477
p_bp_conv%_l10_tw_ss_diff,0.0008862589595128309
p_aced%_l60_tw_ss_diff,0.0008860700730066083
p_1st_sv_pts_won%_l60_tw_ss_IO_SOS_adj_diff,0.0008851166876446763
p_df_opp_df_induce%_l10_tw_ss_IO_SOS_csp_adj_diff,0.0008697691339913745
p_aced_opp_ace%_l60_tw_ss_IO_SOS_csp_adj_diff,0.0008694190477532966
p_sv_opp_ret_pts_won%_l10_tw_ss_IO_SOS_csp_adj_diff,0.0008637441646430884
p_1st_sv_pts_won%_l10_tw_ss_IO_diff,0.0008611684688906493
p_2nd_sv_opp_2nd_ret_pts_won%_l10_tw_ss_IO_SOS_adj_diff,0.000856362180611613
p_bpconv_opp_bpsave%_l60_tw_ss_SOS_csp_adj_diff,0.0008524929528239338
p_aced_opp_ace%_l10_tw_ss_IO_SOS_adj_diff,0.0008424622852709517
p_df_induce%_l60_tw_ss_IO_diff,0.00083860299352905
p_ace_opp_aced%_l10_tw_ss_SOS_csp_adj_diff,0.000828284822660019
p_dfinduce_opp_df%_l60_tw_ss_SOS_adj_diff,0.0008241364599922515
